"train/global_step","be_uk_en - _step","be_uk_en - _step__MIN","be_uk_en - _step__MAX","be_uk_en","be_uk_en__MIN","be_uk_en__MAX","az_tr_en - _step","az_tr_en - _step__MIN","az_tr_en - _step__MAX","az_tr_en","az_tr_en__MIN","az_tr_en__MAX","az_tr_en & be_uk_en-12 - _step","az_tr_en & be_uk_en-12 - _step__MIN","az_tr_en & be_uk_en-12 - _step__MAX","az_tr_en & be_uk_en-12","az_tr_en & be_uk_en-12__MIN","az_tr_en & be_uk_en-12__MAX","az_tr_en baseline","be_uk_en baseline","az_tren & be_uk_en baseline"
"17","17","17","17","33.03580421303365","33.03580421303365","33.03580421303365","17","17","17","36.01038578453324","36.01038578453324","36.01038578453324","17","17","17","36.217389067189934","36.217389067189934","36.217389067189934","21.851054759558806","25.542859771901693","21.851054759558806"
"34","35","35","35","47.069340960225134","47.069340960225134","47.069340960225134","35","35","35","48.21555557335521","48.21555557335521","48.21555557335521","35","35","35","47.87220417072866","47.87220417072866","47.87220417072866","21.851054759558806","25.542859771901693","21.851054759558806"
"51","53","53","53","56.419865233767055","56.419865233767055","56.419865233767055","53","53","53","57.04519689939619","57.04519689939619","57.04519689939619","53","53","53","55.47705241876003","55.47705241876003","55.47705241876003","21.851054759558806","25.542859771901693","21.851054759558806"
"68","71","71","71","59.80420804733046","59.80420804733046","59.80420804733046","71","71","71","55.416935629001344","55.416935629001344","55.416935629001344","71","71","71","55.53507405949365","55.53507405949365","55.53507405949365","21.851054759558806","25.542859771901693","21.851054759558806"
"85","90.66666666666667","89","92","61.367169576801416","55.7887415302959","64.15638360005417","90.66666666666667","89","92","58.59059344115559","57.3028281128873","61.166124097692176","90.66666666666667","89","92","57.145101201912176","55.946610603913015","59.54208239791048","21.851054759558806","25.542859771901693","21.851054759558806"
