"train/global_step","be_uk_en - _step","be_uk_en - _step__MIN","be_uk_en - _step__MAX","be_uk_en","be_uk_en__MIN","be_uk_en__MAX","az_tr_en - _step","az_tr_en - _step__MIN","az_tr_en - _step__MAX","az_tr_en","az_tr_en__MIN","az_tr_en__MAX","az_tr_en & be_uk_en-12 - _step","az_tr_en & be_uk_en-12 - _step__MIN","az_tr_en & be_uk_en-12 - _step__MAX","az_tr_en & be_uk_en-12","az_tr_en & be_uk_en-12__MIN","az_tr_en & be_uk_en-12__MAX","az_tr_en baseline","be_uk_en baseline","az_tren & be_uk_en baseline"
"17","17","17","17","4.492200194623924","4.492200194623924","4.492200194623924","17","17","17","5.097693854507489","5.097693854507489","5.097693854507489","17","17","17","5.097693854507489","5.097693854507489","5.097693854507489","1.6020764882395286","5.764240232730624","1.6020764882395286"
"34","35","35","35","20.8352108318131","20.8352108318131","20.8352108318131","35","35","35","22.6366574007087","22.6366574007087","22.6366574007087","35","35","35","21.785893406435186","21.785893406435186","21.785893406435186","1.6020764882395286","5.764240232730624","1.6020764882395286"
"51","53","53","53","36.99155996161047","36.99155996161047","36.99155996161047","53","53","53","39.4889626843945","39.4889626843945","39.4889626843945","53","53","53","38.08414034109084","38.08414034109084","38.08414034109084","1.6020764882395286","5.764240232730624","1.6020764882395286"
"68","71","71","71","44.97752931653672","44.97752931653672","44.97752931653672","71","71","71","37.45251589474739","37.45251589474739","37.45251589474739","71","71","71","37.60569333033305","37.60569333033305","37.60569333033305","1.6020764882395286","5.764240232730624","1.6020764882395286"
"85","90.66666666666667","89","92","42.6753358938659","33.78486296716319","47.12057235721725","90.66666666666667","89","92","41.691222200314996","39.375626296217135","46.32241400851071","90.66666666666667","89","92","39.71418273891217","37.512584276823354","44.1173796630898","1.6020764882395286","5.764240232730624","1.6020764882395286"
